bounding_rect.y_diff,bounding_rect.width_diff,bounding_rect.height_diff,rotated_rect.rotated_angle_left,rotated_rect.rotated_angle_right,rotated_rect.rotated_angle_diff,contour_feature.ratio_small,contour_feature.ratio_large,label
0.86,0.29,0.205,0.79516724480523,0.035331471761067705,0.7598357730441623,1.2300000000000004,1.7999999999999998,2
0.04,0.01,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.02,0.005,0.01,0.0,0.0,0.0,0.4245945945945948,2.6054054054054054,0
0.075,0.0,0.0,0.0,0.10513695610894097,0.10513695610894097,0.21297872340425528,2.817021276595745,2
0.06,0.025,0.105,0.0,0.0,0.0,1.0204761904761908,2.0095238095238095,0
0.115,0.005,0.01,0.12566587660047743,0.048874579535590275,0.07679129706488716,0.12310344827586217,2.906896551724138,1
0.645,0.025,0.2,0.12566587660047743,0.15595827102661133,0.28162414762708876,3.4710256410256415,0.44102564102564124,2
0.04,0.015,0.08,0.0,0.0,0.0,0.7693939393939395,2.2606060606060607,0
0.035,0.015,0.025,0.0,0.0,0.0,3.105862068965517,0.07586206896551673,0
0.775,0.21,0.095,0.7715994940863715,0.0,0.7715994940863715,1.63,1.4000000000000004,2
0.075,0.035,0.125,0.0,0.0,0.0,1.2663636363636366,1.7636363636363637,0
0.075,0.01,0.01,0.05771586100260417,0.0,0.05771586100260417,0.20777777777777784,2.8222222222222224,0
0.58,0.02,0.17,0.0,0.0,0.0,1.095925925925926,4.125925925925927,2
0.135,0.015,0.01,0.09033448961046008,0.07916683620876735,0.011167653401692708,0.102727272727273,2.9272727272727272,1
0.74,0.025,0.195,0.09033448961046008,0.0,0.09033448961046008,3.5772527472527473,0.5472527472527471,2
0.04,0.01,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.15,0.01,0.01,0.09033448961046008,0.15595821804470486,0.06562372843424479,0.2455844155844158,2.7844155844155845,1
0.97,0.05,0.225,0.09033448961046008,0.1256659189860026,0.21600040859646266,3.1903603603603603,0.16036036036036005,2
0.04,0.015,0.02,0.0,0.0,0.0,2.8966666666666665,0.13333333333333375,0
0.025,0.01,0.035,0.0,0.0,0.0,0.5691304347826089,2.4608695652173913,0
0.015,0.005,0.005,0.0,0.0,0.0,0.44643835616438343,2.583561643835617,0
