bounding_rect.y_diff,bounding_rect.width_diff,bounding_rect.height_diff,rotated_rect.rotated_angle_left,rotated_rect.rotated_angle_right,rotated_rect.rotated_angle_diff,contour_feature.ratio_small,contour_feature.ratio_large,label
0.135,0.095,0.295,0.5,0.06345104641384548,0.5634510464138455,1.196197183098592,1.8338028169014082,0
0.215,0.01,0.275,0.06345104641384548,1.0,0.9365489535861545,0.8766666666666665,3.9066666666666667,2
0.34,0.015,0.245,1.0,0.15595827102661133,1.1559582710266114,2.337246376811594,0.6927536231884064,2
0.03,0.015,0.02,0.07916683620876735,0.0,0.07916683620876735,0.5317021276595746,3.561702127659575,0
0.085,0.035,0.18,0.07916683620876735,0.5,0.5791668362087674,2.0522222222222224,0.9777777777777779,0
0.185,0.03,0.195,0.0,1.0,1.0,1.0344067796610168,4.064406779661017,2
0.3,0.08,0.005,0.5,1.0,1.5,0.6194736842105262,2.410526315789474,2
0.05,0.025,0.02,0.17249009874131943,0.0,0.17249009874131943,1.1157142857142857,1.9142857142857146,2
0.175,0.03,0.11,1.0,0.045395739873250324,1.0453957398732503,3.0931578947368426,0.0631578947368423,2
0.01,0.02,0.015,0.0,0.045395739873250324,0.045395739873250324,0.662063492063492,3.6920634920634923,0
0.005,0.01,0.015,0.0,0.0,0.0,0.479734513274336,3.5097345132743363,0
0.115,0.04,0.25,0.0,0.0,0.0,2.6784848484848487,0.35151515151515156,2
0.035,0.02,0.02,0.06345104641384548,0.06345104641384548,0.0,0.5449999999999999,3.575,0
0.215,0.01,0.175,0.06345104641384548,0.0,0.06345104641384548,4.549298245614035,1.519298245614035,2
0.11,0.01,0.015,0.06345104641384548,0.15595827102661133,0.2194093174404568,0.7062886597938145,2.3237113402061857,2
0.29,0.01,0.185,1.0,0.15595827102661133,1.1559582710266114,2.198421052631579,0.8315789473684214,2
0.075,0.045,0.055,0.07455376519097222,0.06345104641384548,0.011102718777126735,0.8653642384105962,3.8953642384105964,0
0.83,0.24,0.245,0.06345104641384548,0.7839996337890625,0.847450680202908,0.22823008849557525,2.801769911504425,2
0.165,0.015,0.02,0.06345104641384548,0.1256659189860026,0.1891169653998481,1.2983544303797467,1.7316455696202535,2
0.665,0.225,0.225,0.7839996337890625,0.1256659189860026,0.6583337148030599,1.105229357798165,1.9247706422018354,2
0.51,0.125,0.225,0.9470706462860108,0.0,0.9470706462860108,3.1808771929824564,0.15087719298245617,2
0.005,0.005,0.005,0.0,0.0,0.0,0.3185148514851486,3.348514851485149,0
0.315,0.17,0.115,0.13209618462456596,0.34110802544487845,0.2090118408203125,3.3485185185185182,0.318518518518518,2
0.025,0.15,0.015,0.0,0.34110802544487845,0.34110802544487845,0.07322580645161292,3.103225806451613,2
0.05,0.02,0.03,0.04237865871853298,0.0,0.04237865871853298,0.5336363636363637,3.563636363636364,0
0.14,0.005,0.305,0.04237865871853298,1.0,0.957621341281467,2.4162068965517243,0.613793103448276,2
0.84,0.27,0.25,0.0,0.7951672024197048,0.7951672024197048,0.19363636363636383,2.8363636363636364,2
0.31,0.03,0.295,1.0,0.1256659189860026,1.1256659189860025,3.394705882352941,0.36470588235294077,2
